1;Meisam
2;Rui Rex
3;Maneco Theloopmaster
4;Ventaurs
5;Ton dB
*6;Luis Cabral
7;Stuart C
8;Goksel Uyulmaz
9;youlian troyanov
10;got yaa
11;István Nagy
12;St3venAU
13;klassich D
